constructorResultsId,raceId,constructorId,points,status
15858,1010,1,0,\N
15859,1010,3,0,\N
15860,1011,131,43,\N
15861,1011,6,26,\N
15862,1011,9,16,\N
15863,1011,1,8,\N
15864,1011,51,6,\N
15865,1011,211,1,\N
15866,1011,210,0,\N
15867,1011,3,0,\N
15868,1011,4,0,\N
15869,1011,5,2,\N
15870,1012,131,43,\N
15871,1012,6,25,\N
15872,1012,9,21,\N
15873,1012,4,6,\N
15874,1012,211,4,\N
15875,1012,51,2,\N
15876,1012,5,1,\N
15877,1012,210,0,\N
15878,1012,1,0,\N
15879,1012,3,0,\N
15880,1013,131,43,\N
15881,1013,6,26,\N
15882,1013,9,12,\N
15883,1013,211,10,\N
15884,1013,1,10,\N
15885,1013,51,1,\N
15886,1013,5,0,\N
15887,1013,210,0,\N
15888,1013,4,0,\N
15889,1013,3,0,\N
15890,1014,131,44,\N
15891,1014,9,23,\N
15892,1014,6,22,\N
15893,1014,210,7,\N
15894,1014,1,4,\N
15895,1014,5,2,\N
15896,1014,4,0,\N
15897,1014,51,0,\N
15898,1014,211,0,\N
15899,1014,3,0,\N
15900,1015,131,40,\N
15901,1015,6,18,\N
15902,1015,9,23,\N
15903,1015,1,8,\N
15904,1015,5,10,\N
15905,1015,4,2,\N
15906,1015,210,1,\N
15907,1015,211,0,\N
15908,1015,3,0,\N
15909,1015,51,0,\N
15910,1016,131,38,\N
15911,1016,6,33,\N
15912,1016,9,14,\N
15913,1016,4,14,\N
15914,1016,211,2,\N
15915,1016,5,1,\N
15916,1016,1,0,\N
15917,1016,51,0,\N
15918,1016,210,0,\N
15919,1016,3,0,\N
15920,1017,131,43,\N
15921,1017,6,26,\N
15922,1017,9,13,\N
15923,1017,1,10,\N
15924,1017,4,4,\N
15925,1017,51,6,\N
15926,1017,211,0,\N
15927,1017,5,0,\N
15928,1017,210,0,\N
15929,1017,3,0,\N
15930,1018,9,32,\N
15931,1018,6,30,\N
15932,1018,131,25,\N
15933,1018,1,12,\N
15934,1018,51,3,\N
15935,1018,211,0,\N
15936,1018,4,0,\N
15937,1018,5,0,\N
15938,1018,210,0,\N
15939,1018,3,0,\N
15940,1019,131,44,\N
15941,1019,6,15,\N
15942,1019,9,22,\N
15943,1019,1,8,\N
15944,1019,4,7,\N
15945,1019,51,4,\N
15946,1019,5,2,\N
15947,1019,211,0,\N
15948,1019,3,0,\N
15949,1019,210,0,\N
15950,1020,9,26,\N
15951,1020,6,18,\N
15952,1020,5,23,\N
15953,1020,211,12,\N
15954,1020,1,10,\N
15955,1020,51,0,\N
