year,url
2018,http://en.wikipedia.org/wiki/2018_Formula_One_World_Championship
2019,http://en.wikipedia.org/wiki/2019_Formula_One_World_Championship
2020,http://en.wikipedia.org/wiki/2020_Formula_One_World_Championship
2021,http://en.wikipedia.org/wiki/2021_Formula_One_World_Championship
2022,http://en.wikipedia.org/wiki/2022_Formula_One_World_Championship
2023,http://en.wikipedia.org/wiki/2023_Formula_One_World_Championship
2024,https://en.wikipedia.org/wiki/2024_Formula_One_World_Championship
